Brand Name,Fragrance Name,Family,Main Accords,Key Characteristics / Comparisons,Notes Breakdown - Top,Notes Breakdown - Middle,Notes Breakdown - Base,Sillage Performance,Longevity Performance,Wearability Gender,Wearability Best Seasons,Wearability Time of Day,Fragrantica Page,Concentration,Bottle volume (ml),Opened,Batch number,Production date,Expiration date,Barcode,Extra information,Perfumer,Launch year,Ingredients,Thumbnail image,Extra bottle,"Personal rating
(1 worst to 10 best)",Woman likes
Antonio Banderas,Diavolo,Oriental Spicy,"Fresh Spicy, Citrus, Leather, Warm Spicy, Woody, Aromatic, Animalic, Patchouli, Powdery, Green","Popular, affordable spicy, seductive, and woody-oriental fragrance with key notes of citrus (mandarin/bergamot), pepper, patchouli, and leather, is widely noted as a successful, low-cost inspiration/clone of Dior Fahrenheit, and is considered a versatile scent suitable for all seasons, especially evening and nighttime wear. Affordable, underrated. Not long-lasting compared to previous versions","Mandarin Orange, Bergamot, Green Leaves","Pepper, Geranium, Patchouli","Leather, Musk, Sandalwood","Moderate, Intimate","Moderate, Weak","Male, More male","Winter, Spring, Summer, Fall",Night,https://www.fragrantica.com/perfume/Antonio-Banderas/Diavolo-112.html,EDT,100,08/2025,319611,07/2023,UNDEFINED,8411061849347,Tester,"Rosendo Mateu, Alain Muraour",1997,"ALCOHOL DENAT., AQUA (WATER), PARFUM (FRAGRANCE), LIMONENE, LINALOOL, COUMARIN, CITRAL, ALPHA-ISOMETHYL IONONE, HYDROXYCITRONELLAL, CITRONELLOL, GERANIOL, ISOEUGENOL, CI 19140 (YELLOW 5)",https://fimgs.net/mdimg/perfume-thumbs/375x500.112.avif,,,
Antonio Puig,Agua Brava,Woody Chypre,"Aromatic, Woody, Fresh Spicy, Citrus, Warm Spicy, Earthy","Timeless, classic woody chypre-aromatic scent, praised for its masculine, Mediterranean, and natural profile with prominent notes of pine, oakmoss, lavender, and leather, is often compared to other herbal, coniferous classics like Pino Silvestre, and is widely recommended as a versatile, all-seasons fragrance, especially for daytime and casual wear. Compared also to Acqua di Selva. Some find it ""old-fashioned."" Manly, unpolished, raw. Affordable","Lavender, Amalfi Lemon, Bergamot, Juniper, Sage","Pine, Bay Leaf, Thyme, Clove, Carnation","Oakmoss, Vetiver, Leather, Sandalwood, Patchouli, Musk","Moderate, Intimate","Moderate, Weak","Male, More male","Winter, Spring, Summer, Fall","Day, Night",https://www.fragrantica.com/perfume/Antonio-Puig/Agua-Brava-12673.html,EDT,100,08/2025,419011,07/2024,UNDEFINED,8411061401705,,"Marcel Carles, Rosendo Mateu",1968,"ALCOHOL DENAT. AQUA (WATER), PARFUM (FRAGRANCE), LIMONENE, LINALOOL EVERNIA PRUNASTRI (OAKMOSS) EXTRACT, HYDROXYCITRONELLAL, EUGENOL, CITRAL, GERANIOL, BENZYL BENZOATE, ISOEUGENOL, BENZYL SALICYLATE. CI 19140 (YELLOW 5), CI 14700 (RED 4), CI 42090 (BLUE 1)",https://fimgs.net/mdimg/perfume-thumbs/375x500.12673.avif,,,
Antonio Puig,Aqua Quorum,Aromatic Fougere,"lavender, fresh spicy, aromatic, citrus, floral, mossy, earthy, herbal, amber, leather","Classic refreshing Aromatic Fougere that is clean, masculine, and soapy with dominant lavender, grapefruit, and a touch of leather, often compared to Davidoff Cool Water or Calvin Klein Eternity for Men, making it ideal for hot days in spring and summer",Lavender and Freesia,Grapefruit and Geranium,"Oakmoss, Amber and Leather","Moderate, Strong","Moderate, Weak","Male, More male","Summer, Spring",Day,https://www.fragrantica.com/perfume/Antonio-Puig/Aqua-Quorum-12585.html,EDT,100,,412011,04/2024,UNDEFINED,8411061934227,"Made in Spain
65136615 02","Alberto Morillas, Harry Fremont and Rosendo Mateu",1994,"ALCOHOL DENAT., AQUA (WATER), PARFUM (FRAGRANCE), LIMONENE, LINALOOL, CITRONELLOL, HYDROXYCITRONELLAL, CITRAL, GERANIOL, COUMARIN, ISOEUGENOL, ALPHA-ISOMETHYL IONONE",https://fimgs.net/mdimg/perfume-thumbs/375x500.12585.avif,,,
Antonio Puig,Brummel,Woody Aromatic,"woody, citrus, green, warm spicy, fresh, floral","Classic Spanish woody-aromatic cologne from 1975. Community reviews describe it as a clean, sophisticated ""barbershop"" scent with a bright opening of citrus and lavender, followed by spicy notes, oakmoss, and subtle tobacco/leather. It has a refined, old-school gentlemanly feel but is noted for being less animalic than many of its contemporaries. Its refreshing yet warm nature makes it an excellent, all-season daily scent, especially popular as an aftershave splash","Orange Leaf, Lavender, Lemon, Sage, Thyme","Cinnamon, Geranium, Pepper","Cashmere Wood, Oakmoss, Sandalwood, Tobacco, Vetiver","Moderate, Strong","Moderate, Weak","Male, More male","Fall, Spring, Winter, Summer","Day, Night",https://www.fragrantica.com/perfume/Antonio-Puig/Brummel-19442.html,EDC,500,10/2025,PT07138 50710,03/2025,UNDEFINED,8414135018595,,"Jean-Francois Latty, Max Gavarry and Rosendo Mateu",1975,"ALCOHOL DENAT., WATER (AQUA), FRAGRANCE (PARFUM), ETHYLHEXYL METHOXYCINNAMATE, LINALOOL, LIMONENE, HEXYL CINNAMAL, LINALYL ACETATE, ACETYL CEDRENE, CITRUS AURANTIUM BERGAMIA PEEL OIL, BUTYL METHOXYDIBENZOYLMETHANE, ETHYLHEXYL SALICYLATE, ALPHA-ISOMETHYL IONONE LAVANDULA OIL/EXTRACT, BHT, COUMARIN, POGOSTEMON CABLIN OIL, CITRUS LIMON PEEL OIL, PELARGONIUM GRAVEOLENS FLOWER OIL, CITRAL, PINENE, HEXAMETHYLINDANOPYRAN, EVERNIA PRUNASTRI EXTRACT, CITRONELLOL, GERANIOL, CAMPHOR, TERPINEOL, SCLAREOL, GERANYL ACETATE, MENTHOL, HYDROXYCITRONELLAL, FD&C Yellow No.5 (CI 19140), D&C Red No.33 (CI 17200), FD&C Blue No.1 (CI 42090)",https://fimgs.net/mdimg/perfume-thumbs/375x500.19442.avif,,,
Antonio Puig,Quorum,Woody Aromatic,"Woody, Aromatic, Mossy, Earthy, Citrus, Leather, Tobacco, Fresh Spicy, Warm Spicy, Floral","Powerful, classic woody-chypre and aromatic 80s powerhouse praised for its rugged, masculine profile with dominant notes of pine, leather, tobacco, and oakmoss, is frequently compared to other intensely green classics like Ralph Lauren Polo Green and Bogart Signature, and is primarily recommended as a strong scent best suited for cooler weather, fall, and professional or evening wear. ""Manly smell,"" ""classic masterpiece,"" ""deep green, woodsy, soapy, elegant."" Affordable","Artemisia, Caraway, Lemon, Bergamot, Grapefruit","Pine Tree, Sandalwood, Patchouli, Carnation, Cyclamen, Jasmine","Oakmoss, Leather, Tobacco, Amber","Moderate, Strong","Long lasting, Moderate","Male, More male","Winter, Fall",Night,https://www.fragrantica.com/perfume/Antonio-Puig/Quorum-3825.html,EDT,100,07/2025,419311,07/2024,UNDEFINED,8411061923221,,"Carlos Benaïm, Max Gavarry, Rosendo Mateu",1981,"ALCOHOL DENAT., AQUA (WATER), PARFUM (FRAGRANCE), LIMONENE, LINALOOL, EUGENOL, BUTYL METHOXYDIBENZOYLMETHANE, CITRONELLOL, CITRAL, COUMARIN, GERANIOL, ISOEUGENOL, HYDROXYCITRONELLAL, BENZYL BENZOATE, EVERNIA FURFURACEA (TREEMOSS) EXTRACT, ALPHA-ISOMETHYL IONONE, CINNAMAL, BENZYL ALCOHOL",https://fimgs.net/mdimg/perfume-thumbs/375x500.3825.avif,,,
Antonio Puig,Quorum Silver,Woody Spicy,"woody, fresh spicy, warm spicy, citrus, aromatic, lavender, cinnamon, powdery, soft spicy, fresh","Affordable dry woody-aromatic scent dominated by cedar, ginger, and cardamom, praised for its masculine, expensive-smelling quality, often compared to the style of Azzaro Visit or Lalique Pour Homme Equus, and is highly versatile, but best recommended for spring, fall, and year-round professional use. Expensive-smelling at affordable price. Very masculine. Cedar note might not be appealing. Ginger can be overpowering","Ginger, Lavender, Cardamom, Bergamot, Mandarin Orange","Nutmeg, Pink Pepper, Cinnamon","Virginia Cedar, Guaiac Wood, Amber, Patchouli","Moderate, Strong","Moderate, Long lasting","Male, More male","Winter, Spring, Summer, Fall","Day, Night",https://www.fragrantica.com/perfume/Antonio-Puig/Quorum-Silver-12698.html,EDT,100,08/2025,E1391,05/2018,UNDEFINED,8411061590843,Tester,Unknown,2005,"ALCOHOL DENAT., AQUA/WATER/EAU, PARFUM/FRAGRANCE, METHYL CYCLODEXTRIN, ETHYLHEXYL SALICYLATE, LIMONENE, BUTYL METHOXYDIBENZOYLMETHANE, LINALOOL, CITRAL, ALCOHOL, TRIS CITRATE, FARNESOL, TETRASODIUM GLUTAMATE DIACETATE, EXT. D&C VIOLET NO. 2 (CI 60730), FD&C BLUE NO. 1 (CI 42090), FD&C RED NO. 4 (CI 14700)",https://fimgs.net/mdimg/perfume-thumbs/375x500.12698.avif,,,
Aramis,Aramis,Woody Chypre,"aromatic, woody, earthy, leather, warm spicy, mossy, herbal, amber, animalic, powdery","Legendary, bold, and unapologetically masculine woody chypre. Community reviews praise its ""old-school,"" powerful, and complex scent with prominent notes of leather, spices, and oakmoss. It's often compared to other vintage ""powerhouses"" like Chanel Pour Monsieur and YSL Kouros. Its dense, warm, and rich character makes it best suited for colder days and formal evening wear, as it can be overwhelming in heat","Aldehydes, Myrrh, Artemisia, Thyme, Clover, Bergamot, Gardenia","Patchouli, Sage, Jasmine, Cardamom, Orris Root","Leather, Oakmoss, Musk, Vetiver, Sandalwood, Amber, Coconut","Strong, Moderate","Long lasting, Moderate","Male, More male","Winter, Spring, Fall","Day, Night",https://www.fragrantica.com/perfume/Aramis/Aramis-113.html,EDT,110,10/2025,A1426024,01/2024,UNDEFINED,22548006719,,Bernard Chant,1966,"Alcohol Denat., Fragrance (Parfum), Water\Aqua\Eau, Geraniol, Linalool, Benzyl Benzoate, Citral, Benzyl Cinnamate, Eugenol, Alpha-Isomethyl Ionone, Citronellol, Limonene, Benzyl Alcohol, Ethylhexyl Methoxycinnamate, Butyl Methoxydibenzoylmethane, Ethylhexyl Salicylate, Ext. Violet 2 (Ci 60730), Red 33 (Ci 17200), Yellow 5 (Ci 19140)
",https://fimgs.net/mdimg/perfume-thumbs/375x500.113.avif,,,
Ard Al Zaafaran,Midnight Oud,Oriental Spicy,"Amber, fresh spicy, woody, warm spicy, balsamic, oud, aromatic","Popular, powerful, and smoky incense-heavy leather-oud fragrance with key notes of oud, leather, spice, and patchouli, is widely known as one of the closest and most affordable clones of Amouage Interlude Man, and is overwhelmingly recommended as a beast-mode scent best for cold weather, winter, and nighttime occasions. Great value for price, long lasting and good projection, high quality. Not suitable for everyone's taste, may be too strong or overpowering, not a good blind buy for those unfamiliar with Interlude","Oregano, Pimento, Bergamot","Olibanum, Opoponax, Amber, Labdanum","Agarwood (Oud), Leather, Sandalwood, Patchouli","Strong, Moderate","Long lasting, Eternal","Male, More male","Winter, Fall",Night,https://www.fragrantica.com/perfume/Ard-Al-Zaafaran/Midnight-Oud-66534.html,EDP,90,07/2025,ML7.0600091,06/2024,06/2029,6205413337789,,Unknown,2021,"ALCOHOL DENAT., AQUA/WATER/EAU, PARFUM/FRAGRANCE, METHYL CYCLODEXTRIN, ETHYLHEXYL SALICYLATE, LIMONENE, BUTYL METHOXYDIBENZOYLMETHANE, LINALOOL, CITRAL, ALCOHOL, TRIS CITRATE, FARNESOL, TETRASODIUM GLUTAMATE DIACETATE, EXT. D&C VIOLET NO. 2 (CI 60730), FD&C BLUE NO. 1 (CI 42090), FD&C RED NO. 4 (CI 14700)",https://fimgs.net/mdimg/perfume-thumbs/375x500.66534.avif,,,
Ard Al Zaafaran,Shalimar Oud,Leather,"Fruity, Leather, Incense","A luxurious fusion of oriental-woody, spicy, amber, and floriental accords. Elegant and refined, with a seductive velvet-like aura ideal for cool evenings, special events, or moments when you want depth and elegance. Marketed toward women, but widely worn unisex due to balanced notes and smooth oud undertones. Similar to Afnan's Rare Carbon and Lattafa's Velvet Oud","Bergamot, Cedar, Mandarin, Citrus","Jasmine, Iris, Rose, Vetiver, Patchouli","Leather, Sandalwood, Tonka Bean, Amber, Musk, Incense","Strong, Moderate","Long lasting, Eternal","Unisex, More female","Winter, Fall","Day, Night",https://www.oriental-style.de/en/products/shalimar-oud-ard-al-zaafaran-perfume-spray-eau-de,EDP,70,08/2025,UNKNOWN,UNKNOWN,UNKNOWN,6423080619568,No box,Unknown,2020,UNKNOWN,https://www.oriental-style.de/cdn/shop/files/09c0a4d82c1da3f0d96a82f8b45f9760.png,,,
Armaf,Club de Nuit Intense Man Parfum,Aromatic Fruity,"Citrus, Fruity, Leather, Woody, Smoky, Sweet, Aromatic, Fresh, Amber, Musky","Highly regarded as a dense, long-lasting, and sophisticated woody-fruity scent with prominent notes of smoky birch, pineapple, lemon, and vanilla/ambergris, is universally considered the ultimate, smoothest clone of Creed Aventus, and is a versatile signature scent best for all seasons, especially evenings, special events, and cooler weather due to its potent concentration. Smells identical to Aventus drydown. Lasts 15 hours with massive projection. Strong lemon opening for some. Compared also to Montblanc Explorer","Lemon, Pineapple, Bergamot, Black Currant, Apple","Birch, Jasmine, Rose","Ambergris, Musk, Patchouli, Vanilla","Strong, Moderate","Long lasting, Eternal","Male, More male","Winter, Spring, Summer, Fall","Day, Night",https://www.fragrantica.com/perfume/Armaf/Club-de-Nuit-Intense-Man-Parfum-72842.html,EDP,200,06/2025,"EU 443553, 08971",07/2024,07/2029,6294015131024,,Unknown,2022,"ALCOHOL DENAT, FRAGRANCE (PARFUM), WATER (AQUA), LIMONENE, LINALOOL, CITRAL, GERANIOL, BENZYL ALCOHOL, CITRONELLOL, EUGENOL, FARNESOL",https://fimgs.net/mdimg/perfume-thumbs/375x500.72842.avif,,,
Armaf,Club de Nuit Precieux,Oriental Woody,"Sweet, Citrus, Fruity, Woody, Amber, Musky, Fresh, Fresh spicy, Caramel, Mossy","Praised by reviewers for its smooth, well-blended, fruity-sweet, and sophisticated take on the DNA, often compared to and considered an affordable alternative for Creed Absolu Aventus; it is very versatile but leans better for spring, fall, and cooler weather due to its richness, though some wear it year-round. Warmth-enabling, finesse and verve. Chypre amber. ""Smells very good right out of the box."" ""Zero alcohol smell and a much better fruity smell probably because of the pear note."" ""Most refined CDN fragrance."" ""80% Dior Sauvage edt 20% Sauvage Elixir"" according to some","Pineapple, Lemon, Bergamot, Caramel, Pear, Pink Pepper, Black Pepper","Oakmoss, White Wood, Jasmine, Anise, Lily of the Valley","Ambroxan, Amber, Patchouli, White Musk, Vanilla, Leather, Cedar","Strong, Moderate","Long lasting, Moderate","Male, More male","Winter, Spring, Summer, Fall","Day, Night",https://www.fragrantica.com/perfume/Armaf/Club-de-Nuit-Precieux-93272.html,EDP,50,06/2025,"469138, 14932",01/2025,01/2030,6294015181913,,Unknown,2024,"Alcohol Denat, Fragrance (Parfum), Water (Aqua), Limonene, Linalool, Citronellol, Benzyl Benzoate, Coumarin, Hydroxycitronellal, Citral, Geraniol, Benzyl Salicylate, Eugenol, Alpha-Isomethyl Ionone, Hexyl Cinnamal",https://fimgs.net/mdimg/perfume-thumbs/375x500.93272.avif,,,
Armaf,Club De Nuit Urban Elixir,Aromatic Woody,"Amber, Aromatic, Citrus, Fresh Spicy, Musky, Woody, Lavender, Soft Spicy, Warm Spicy, Herbal","Mass-appealing, long-lasting, and compliment-getting aromatic/citrusy scent with a synthetic opening, most often compared to a blend of Dior Sauvage and Creed Aventus; its versatile, slightly rich nature makes it suitable for year-round wear, though it leans towards cooler nights and dates. Affordable, good projection/longevity. Not for those who dislike strong scents. Also compared to Prada Luna Rossa Carbon","Bergamot, Pink Pepper, Orange Blossom, Jasmine","Lavender, Elemi, Geranium, Vetiver, Saffron, Marigold","Ambroxan, Amber, Cedar, Patchouli, Labdanum","Strong, Moderate","Long lasting, Eternal","Male, More male","Winter, Spring, Summer, Fall","Day, Night",https://www.fragrantica.com/perfume/Armaf/Club-De-Nuit-Urban-Elixir-77860.html,EDP,100,06/2025,"474841, 11080",03/2025,03/2030,6294015163513,,Unknown,2022,"Alcohol Denat., Aqua (Water), Fragrance (Parfum), Benzyl Salicylate, Hydroxycitronellal, Benzyl Alcohol, Butyl methoxydibenzoylmethane, Geraniol, Hexyl Cinnamal, Linalool, Limonene, Isoeugenol, Benzyl Benzoate, Citral, Tris (tetramethylhydroxypiperidinol) citrate, Ethylhexyl salicylate, Coumarin, Methyl anthranilate, Citronellol, CI 14700, CI 17200, CI 60730, CI 19140",https://fimgs.net/mdimg/perfume-thumbs/375x500.77860.avif,,,
Armaf,Hunter Intense,Woody Aromatic,"Citrus, fresh spicy, aromatic, lavender, warm spicy, tuberose","Mass-appealing, fresh, citrusy, and slightly spicy/sweet aromatic scent, highly regarded for its great value and often compared to a hybrid of Dior Sauvage and Paco Rabanne Invictus; due to its clean freshness and versatility, it is best suited for year-round, daytime wear, especially in spring and summer. Affordable, clean and fresh. Good value. Not unique/original, may smell synthetic/generic","Bergamot, Pomelo, Mandarin Orange, Lemon","Lavender, Geranium, Tuberose, Ylang-Ylang","Black Pepper, Cardamom","Moderate, Strong","Long lasting, Moderate","Male, More male","Spring, Summer",Day,https://www.fragrantica.com/perfume/Armaf/Hunter-Intense-50327.html,EDP,100,06/2025,"454429, 08596",10/2024,10/2029,6294015102499,,Unknown,2016,"Alcohol Denat, Fragrance (Parfum), Aqua (Water), Benzyl Salicylate, Hydroxycitronellal, Linalool, Limonene, Coumarin, Citronellol, Geraniol, Alpha-Isomethyl-Ionone, Citral
",https://fimgs.net/mdimg/perfume-thumbs/375x500.50327.avif,,,
Armaf,Odyssey Homme,Oriental,"Amber, warm spicy, vanilla, powdery, iris, leather, animalic, violet","Highly-rated, warm, sweet, and masculine oriental-spicy fragrance with excellent longevity and performance, most often compared to Tom Ford Noir Extreme for its creamy vanilla, amber, and spice profile, and is universally considered an ideal scent for cooler weather, specifically fall and winter nights. Inexpensive, good for the price, balanced sweetness. Reminds also of Mercedes-Benz Select Night","Vanilla, Amber","Oriental notes, Spices, Iris","Vanilla, Leather, Jasmine","Moderate, Strong","Long lasting, Moderate","Male, More male","Winter, Spring, Summer, Fall","Day, Night",https://www.fragrantica.com/perfume/Armaf/Odyssey-Homme-64464.html,EDP,100,06/2025,"467617, 08245",01/2025,01/2030,6294015109313,,Unknown,2018,"ALCOHOL DENAT., FRAGRANCE (PARFUM), WATER (AQUA), LIMONENE, LINALOOL, COUMARIN, CITRAL, BENZYL BENZOATE, BENZYL SALICYLATE, CITRONELLOL, GERANIOL, HEXYL CINNAMAL, AMYL CINNAMAL, FARNESOL, BENZYL ALCOHOL",https://fimgs.net/mdimg/perfume-thumbs/375x500.64464.avif,,,
Armaf,Odyssey Homme White Edition,Oriental Fougere,"Amber, Woody, Citrus, Ozonic, Soft Spicy, Aquatic","Fresh, sweet, and slightly spicy/aquatic Amber Fougere scent, which is a versatile, long-lasting compliment-getter that is most frequently compared to a blend of Paco Rabanne Invictus Aqua and Emporio Armani Stronger With You; its profile makes it excellent for year-round wear, performing particularly well in spring and summer days and cooler evenings. Compared also to Eau Savage, YSL Homme. ""Blind buy safe."" Lively, sweet, clean, crisp","Pink Pepper, Yuzu, Grapefruit","Violet Leaf, Sea Notes","Amber, Amberwood, Guaiac Wood","Moderate, Strong","Long lasting, Moderate","Male, More male","Spring, Summer","Day, Night",https://www.fragrantica.com/perfume/Armaf/Odyssey-Homme-White-Edition-64466.html,EDP,200,06/2025,"467616, 03640",01/2025,01/2030,6294015163933,,Unknown,2018,"Alcohol Denat, Fragrance (Parfum),Water (Aqua ), Limonene",https://fimgs.net/mdimg/perfume-thumbs/375x500.64466.avif,,,
Armaf,Odyssey Mandarin Sky,Citrus / Gourmand,"Citrus, Caramel, Sweet, Amber, Aromatic, Vanilla, Woody, Warm Spicy","Sweet, charismatic, and compliment-pulling amber woody scent noted for its vibrant mandarin/caramel contrast and is widely considered a close and affordable alternative to Jean Paul Gaultier Scandal Pour Homme; its warm, sweet profile makes it best for cooler weather, nights, and special occasions like dates, though some find it versatile for year-round wear. Great value. ""Caramel bomb,"" strong sweet. Some find it synthetic. ""Orange dreamsicle""","Mandarin Orange, Orange, Saffron, Sage","Caramel, Tonka Bean, Marigold","Ambroxan, Cedar, Vetiver","Moderate, Strong","Long lasting, Moderate","More male, Male","Winter, Fall, Summer, Spring",Night,https://www.fragrantica.com/perfume/Armaf/Odyssey-Mandarin-Sky-83132.html,EDP,10,07/2025,"461791, 01357",12/2024,12/2029,6294015191974,Tester,Unknown,2023,"ALCOHOL DENAT., FRAGRANCE (PARFUM), WATER (AQUA), LIMONENE, LINALOOL, CITRONELLOL, BENZYL BENZOATE, COUMARIN, HYDROXYCITRONELLAL, CITRAL, GERANIOL, BENZYL SALICYLATE, EUGENOL, ALPHA ISOMETHYL IONONE, HEXYL CINNAMAL",https://fimgs.net/mdimg/perfume-thumbs/375x500.83132.avif,,,
